Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28
Gesamt;898;6430;22393;33971;36052;27140;17332;12345;7436;6237;4763;3598;3204;2351;2340;4190;3154;2688;2427;3021;3927;4829;6054;7951;9598;8823;8619;9763;12289;13060;15926;26114;42056;74872;111029;125769;127766;128371;123212;128422;156347;174765;139002;123091;145519;118946;95563;78136;64589;50810;52414;56371;58386;71323;92613;116369;110130;118311;142072;144933;124854;101108;70886;52780;29911;20738;14048;7272;4811;4344;5560;8934
90+;1;13;102;425;1170;1242;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;183;437;889;1463;1722;2310;3062;3515;4193;5402;5966;5241;4977;5406;5024;3942;2872;1935;1300;1063;826;611;609;639;661;626;719;795;798;638;547;413;278;161;129;67;44;10;7;17;21
85 - 89;6;38;218;735;1449;1422;924;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;306;576;1150;1787;2286;2834;3377;4093;4598;5913;6932;5825;5584;6069;5561;4446;3320;2577;1650;1462;1204;963;938;1114;1260;1189;1072;1203;1174;992;855;621;431;237;159;90;50;41;27;30;42
80 - 84;12;84;468;1279;1966;1715;1177;819;452;298;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;470;858;1838;2836;3436;3800;4360;4774;5446;7073;8261;7420;6869;7671;6695;5332;4195;3148;2290;1994;1778;1549;1640;1793;2129;1896;1960;2215;2026;1592;1368;921;692;381;213;156;62;39;38;45;53
75 - 79;24;113;571;1403;1789;1313;854;588;351;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;505;903;1628;2644;3054;3286;3380;3490;3969;4998;5942;5102;4637;5225;4315;3409;2816;2200;1700;1713;1571;1366;1426;1894;2219;2180;2355;2709;2488;2122;1664;1144;777;410;250;155;59;50;46;47;51
70 - 74;11;146;619;1327;1411;1043;632;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;585;933;1803;2885;3185;3303;3358;3196;3480;4385;5153;4443;4127;4838;3663;3056;2481;2065;1577;1597;1647;1555;1811;2378;2840;2906;3146;3616;3376;2880;2304;1594;1086;582;341;216;112;70;67;61;68
65 - 69;25;236;884;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;85;86;121;110;122;129;127;224;289;304;450;687;1282;2267;3554;4261;4014;4149;4133;4119;5173;6356;5586;4975;5732;4417;3629;3123;2535;1914;2044;2120;1996;2302;3192;3899;3968;4311;4914;4631;3971;3295;2321;1618;772;595;320;136;103;79;93;116
60 - 64;63;429;1597;2522;2778;1787;1085;673;405;331;239;176;169;106;91;121;106;111;93;110;152;151;204;193;237;243;249;339;490;542;681;1272;2123;3960;5990;6859;6923;7302;7007;7650;9421;11034;9180;8264;9275;7550;6240;5123;4216;3188;3248;3517;3417;4122;5307;6575;6402;6879;7596;7767;6800;5533;3737;2655;1343;852;562;288;154;156;169;234
55 - 59;76;749;2589;3593;3663;2601;1564;1060;599;509;360;264;237;142;133;193;196;156;116;178;241;288;309;325;431;357;394;554;760;866;1109;1872;2999;5758;8973;10165;10292;10249;9872;10379;13052;14997;12391;11095;12337;10034;8339;7013;5813;4508;4605;4840;4637;5710;7261;9100;8948;9690;10676;11041;9929;7823;5325;3576;1933;1260;792;361;244;229;245;360
50 - 54;133;979;3091;4000;3700;2610;1560;986;602;521;375;251;241;150;146;328;257;186;171;208;294;351;415;473;560;537;549;670;898;995;1203;2270;3577;6420;9770;10966;11002;10845;10338;10554;13259;14923;11979;10522;12106;9814;8183;6677;5303;4311;4504;4753;4944;5901;7534;9357;9121;9959;11119;11642;10151;8030;5468;3778;2063;1358;824;438;296;223;284;446
45 - 49;99;747;2098;2915;2711;1916;1173;786;468;448;331;253;214;162;144;384;269;217;182;232;334;386;456;573;693;605;615;696;877;896;1200;2034;3121;5823;8387;9478;9277;9675;9064;9234;11095;12438;9736;8554;9800;7958;6490;5303;4491;3551;3777;4048;4293;5187;6524;8167;7988;8767;10161;10684;9027;7445;5088;3593;2083;1309;874;472;275;255;332;427
40 - 44;85;567;1798;2324;2305;1678;1019;696;455;403;359;243;212;175;157;462;266;215;189;251;321;431;490;639;717;660;648;685;844;860;1054;1869;2904;5304;7885;8876;8993;9237;8811;8816;10904;11997;9512;8027;9549;7560;6230;5114;4281;3470;3592;4141;4272;5341;6982;9104;8328;9276;10731;10848;9582;7730;5342;3988;2209;1601;1081;526;353;269;340;500
35 - 39;67;547;1754;2384;2203;1651;982;763;465;424;351;273;242;155;194;388;296;225;203;253;358;383;515;643;761;716;645;699;905;1007;1153;1823;3098;5388;8087;8966;9187;9191;8716;9145;10996;12232;9529;8090;10144;8007;6342;5193;4462;3596;3714;4182;4579;5759;7592;9467;8990;9488;11270;11285;10027;7968;5635;4227;2420;1693;1102;550;363;341;374;638
30 - 34;69;536;2050;2635;2420;1743;1205;900;563;487;394;315;269;207;223;419;325;259;259;298;383;424;515;705;945;858;939;938;1207;1302;1523;2359;3857;6716;9575;10481;10477;10085;9368;9474;11522;13034;10048;9194;11608;9052;7025;5766;4907;3905;4116;4536;4895;6022;7898;9884;9516;10146;12012;11872;10455;8286;5871;4552;2748;1759;1182;631;421;427;586;855
25 - 29;76;548;1995;2690;2487;1934;1289;996;682;522;391;345;314;222;242;399;321;314;229;309;409;510;605;838;1195;1222;1161;1229;1482;1436;1746;2686;4477;7317;10343;11155;10694;9925;8999;9153;10783;12112;9440;8420;10787;8543;6397;5346;4491;3659;3907;4147;4272;5468;7015;8416;8380;9216;10903;10798;9214;7471;5191;3949;2454;1606;1110;622;460;492;787;1278
20 - 24;70;322;1445;2268;2244;1733;1227;957;593;506;419;313;288;227;251;383;254;258;236;300;378;521;745;1162;1546;1326;1248;1282;1512;1585;1737;2791;4383;7570;10416;11733;11019;10200;8940;9180;10787;12102;9072;8590;10891;8532;6434;5241;4378;3653;3948;4201;4401;5423;6905;8560;8515;9801;11546;11289;9634;7840;5590;4188;2415;1745;1205;627;441;548;882;1485
