Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27
Gesamt;898;6430;22392;33971;36053;27140;17334;12344;7436;6240;4763;3598;3204;2351;2342;4178;3161;2691;2427;3021;3928;4829;6055;7951;9598;8823;8620;9765;12289;13060;15920;26113;42054;74851;111025;125756;127757;128361;123211;128432;156340;174770;138997;123102;145546;118978;95579;78153;64595;50813;52432;56377;58393;71327;92618;116383;110134;118312;142075;144938;124876;101116;70888;52793;29916;20735;14057;7273;4808;4335;5492
90+;1;13;102;425;1170;1242;849;582;284;206;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;183;437;887;1464;1723;2311;3063;3514;4189;5398;5965;5242;4970;5411;5026;3944;2871;1935;1299;1070;827;611;609;639;661;626;720;795;797;638;547;414;279;161;129;67;44;10;7;18
85 - 89;6;38;218;735;1449;1422;925;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;306;576;1149;1788;2286;2833;3374;4091;4594;5908;6931;5825;5586;6079;5568;4449;3320;2578;1651;1464;1204;963;938;1114;1260;1188;1070;1204;1175;991;854;621;431;237;159;90;50;41;27;29
80 - 84;12;84;468;1279;1966;1715;1177;819;452;299;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;470;858;1837;2836;3434;3799;4359;4774;5446;7071;8260;7417;6866;7676;6697;5333;4197;3150;2290;1999;1778;1548;1640;1793;2130;1897;1960;2213;2025;1593;1369;922;692;381;213;156;62;39;38;47
75 - 79;24;113;571;1403;1789;1314;854;588;351;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;505;903;1629;2644;3052;3286;3381;3490;3967;4999;5943;5101;4639;5225;4316;3413;2816;2200;1700;1714;1571;1366;1426;1896;2218;2180;2355;2706;2492;2123;1664;1143;777;411;250;155;59;50;45;48
70 - 74;11;146;619;1327;1411;1043;632;423;274;208;128;94;80;47;40;56;40;37;57;62;63;89;91;79;97;92;105;151;259;267;351;585;933;1803;2883;3183;3303;3359;3196;3480;4387;5153;4443;4129;4838;3664;3057;2481;2065;1578;1598;1649;1556;1811;2378;2840;2906;3146;3616;3374;2883;2304;1594;1086;583;341;216;112;70;65;60
65 - 69;25;236;884;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;85;86;121;110;122;129;127;224;290;304;451;687;1282;2267;3553;4261;4016;4149;4135;4117;5172;6356;5584;4978;5732;4418;3630;3123;2534;1914;2043;2122;1996;2301;3192;3899;3968;4310;4915;4631;3970;3297;2321;1620;774;595;321;135;103;80;94
60 - 64;63;429;1596;2522;2778;1787;1086;673;405;331;239;176;169;106;91;121;106;111;93;110;152;151;204;193;237;243;249;339;490;542;680;1272;2123;3961;5990;6860;6922;7301;7005;7652;9423;11031;9179;8268;9276;7553;6239;5123;4217;3187;3249;3515;3417;4123;5307;6575;6404;6880;7592;7770;6802;5532;3737;2655;1343;852;562;288;154;156;166
55 - 59;76;749;2589;3593;3663;2601;1564;1060;599;509;360;264;237;142;133;193;196;156;116;178;241;288;309;325;431;357;394;554;760;866;1109;1872;3000;5756;8972;10165;10291;10247;9874;10380;13047;14999;12387;11096;12337;10036;8339;7016;5813;4510;4605;4841;4637;5711;7262;9101;8950;9690;10677;11040;9934;7825;5325;3576;1933;1259;793;362;244;229;243
50 - 54;133;979;3091;4000;3700;2609;1560;986;602;521;375;251;241;150;146;326;259;186;171;208;294;351;415;473;560;537;549;669;898;995;1203;2270;3577;6419;9768;10964;10997;10842;10338;10553;13256;14926;11978;10523;12107;9813;8185;6679;5304;4310;4505;4750;4945;5902;7535;9359;9123;9962;11118;11643;10152;8032;5468;3779;2062;1359;826;439;296;223;280
